"times_for_S2_markov","S2_markov_of_time"
0,1
0.01,1
0.02,1
0.03,1
0.04,1
0.05,1
0.06,1
0.07,1
0.08,1
0.09,1
0.1,1
0.11,1
0.12,1
0.13,1
0.14,1
0.15,1
0.16,1
0.17,1
0.18,1
0.19,1
0.2,1
0.21,1
0.22,1
0.23,1
0.24,1
0.25,1
0.26,1
0.27,1
0.28,1
0.29,1
0.3,1
0.31,1
0.32,1
0.33,1
0.34,1
0.35,1
0.36,1
0.37,1
0.38,1
0.39,1
0.4,1
0.41,1
0.42,1
0.43,1
0.44,1
0.45,1
0.46,1
0.47,1
0.48,1
0.49,1
0.5,1
0.51,1
0.52,1
0.53,1
0.54,1
0.55,1
0.56,1
0.57,1
0.58,1
0.59,1
0.6,1
0.61,1
0.62,1
0.63,1
0.64,1
0.65,1
0.66,1
0.67,1
0.68,1
0.69,1
0.7,1
0.71,1
0.72,1
0.73,1
0.74,1
0.75,1
0.76,1
0.77,1
0.78,1
0.79,1
0.8,1
0.81,1
0.82,1
0.83,1
0.84,1
0.85,1
0.86,1
0.87,1
0.88,1
0.89,1
0.9,1
0.91,1
0.92,1
0.93,1
0.94,1
0.95,1
0.96,1
0.97,1
0.98,1
0.99,1
1,1
1.01,1
1.02,1
1.03,1
1.04,1
1.05,1
1.06,1
1.07,1
1.08,1
1.09,1
1.1,1
1.11,1
1.12,0.5
1.13,0.5
1.14,0.5
1.15,0.5
1.16,0.5
1.17,0.5
1.18,0.5
1.19,0.5
1.2,0.5
1.21,0.5
1.22,0.5
1.23,0.5
1.24,0.5
1.25,0.333333333333333
1.26,0.333333333333333
1.27,0.333333333333333
1.28,0.333333333333333
1.29,0.333333333333333
1.3,0.333333333333333
1.31,0.333333333333333
1.32,0.333333333333333
1.33,0.333333333333333
1.34,0.333333333333333
1.35,0.333333333333333
1.36,0.333333333333333
1.37,0.333333333333333
1.38,0.333333333333333
1.39,0.333333333333333
1.4,0.333333333333333
1.41,0.333333333333333
1.42,0.333333333333333
1.43,0.333333333333333
1.44,0.333333333333333
1.45,0.333333333333333
1.46,0.333333333333333
1.47,0.333333333333333
1.48,0.333333333333333
1.49,0.333333333333333
1.5,0.333333333333333
1.51,0.333333333333333
1.52,0.333333333333333
1.53,0.333333333333333
1.54,0.333333333333333
1.55,0.333333333333333
1.56,0.333333333333333
1.57,0.333333333333333
1.58,0.333333333333333
1.59,0.333333333333333
1.6,0.333333333333333
1.61,0.333333333333333
1.62,0.333333333333333
1.63,0.333333333333333
1.64,0.285714285714286
1.65,0.285714285714286
1.66,0.285714285714286
1.67,0.285714285714286
1.68,0.285714285714286
1.69,0.285714285714286
1.7,0.285714285714286
1.71,0.238095238095238
1.72,0.238095238095238
1.73,0.238095238095238
1.74,0.238095238095238
1.75,0.238095238095238
1.76,0.238095238095238
1.77,0.238095238095238
1.78,0.238095238095238
1.79,0.238095238095238
1.8,0.238095238095238
1.81,0.238095238095238
1.82,0.238095238095238
1.83,0.238095238095238
1.84,0.238095238095238
1.85,0.238095238095238
1.86,0.238095238095238
1.87,0.238095238095238
1.88,0.190476190476191
1.89,0.190476190476191
1.9,0.190476190476191
1.91,0.190476190476191
1.92,0.190476190476191
1.93,0.190476190476191
1.94,0.190476190476191
1.95,0.190476190476191
1.96,0.190476190476191
1.97,0.166666666666667
1.98,0.166666666666667
1.99,0.166666666666667
2,0.166666666666667
2.01,0.166666666666667
2.02,0.166666666666667
2.03,0.166666666666667
2.04,0.148148148148148
2.05,0.148148148148148
2.06,0.148148148148148
2.07,0.148148148148148
2.08,0.148148148148148
2.09,0.148148148148148
2.1,0.148148148148148
2.11,0.148148148148148
2.12,0.148148148148148
2.13,0.148148148148148
2.14,0.148148148148148
2.15,0.148148148148148
2.16,0.148148148148148
2.17,0.148148148148148
2.18,0.148148148148148
2.19,0.148148148148148
2.2,0.148148148148148
2.21,0.148148148148148
2.22,0.148148148148148
2.23,0.148148148148148
2.24,0.138888888888889
2.25,0.138888888888889
2.26,0.138888888888889
2.27,0.138888888888889
2.28,0.138888888888889
2.29,0.138888888888889
2.3,0.138888888888889
2.31,0.138888888888889
2.32,0.138888888888889
2.33,0.138888888888889
2.34,0.12962962962963
2.35,0.12962962962963
2.36,0.12962962962963
2.37,0.12962962962963
2.38,0.12962962962963
2.39,0.12962962962963
2.4,0.12962962962963
2.41,0.12962962962963
2.42,0.12962962962963
2.43,0.12962962962963
2.44,0.12962962962963
2.45,0.12962962962963
2.46,0.12962962962963
2.47,0.12962962962963
2.48,0.12962962962963
2.49,0.12962962962963
2.5,0.12962962962963
2.51,0.12962962962963
2.52,0.12962962962963
2.53,0.122427983539095
2.54,0.122427983539095
2.55,0.122427983539095
2.56,0.122427983539095
2.57,0.122427983539095
2.58,0.122427983539095
2.59,0.122427983539095
2.6,0.122427983539095
2.61,0.122427983539095
2.62,0.122427983539095
2.63,0.122427983539095
2.64,0.122427983539095
2.65,0.122427983539095
2.66,0.122427983539095
2.67,0.122427983539095
2.68,0.122427983539095
2.69,0.122427983539095
2.7,0.122427983539095
