age,pyrs,cases,semi,nonsemi,parity,cohort,motherage
0,25096.793832,0,0,0,1,1950,12
0,1859.0492552,0,0,0,2,1950,12
0,64.212905158,0,0,0,3,1950,12
0,21779.216476,0,0,0,1,1950,20
0,4972.0797964,0,0,0,2,1950,20
0,427.14887342,0,0,0,3,1950,20
0,17.591795793,0,0,0,4,1950,20
0,112369.67006,0,0,0,1,1958,12
0,14635.499281,0,0,0,2,1958,12
0,730.48516356,0,0,0,3,1958,12
0,9.2006886743,0,0,0,4,1958,12
0,244005.79114,1,0,1,1,1958,20
0,129822.81239,0,0,0,2,1958,20
0,25815.496384,0,0,0,3,1958,20
0,3856.1246875,0,0,0,4,1958,20
0,31931.305173,1,0,1,1,1958,25
0,34799.084812,0,0,0,2,1958,25
0,11916.596355,0,0,0,3,1958,25
0,2943.8213414,0,0,0,4,1958,25
0,244097.0133,0,0,0,1,1963,12
0,36016.269788,0,0,0,2,1963,12
0,1803.6427801,0,0,0,3,1963,12
0,31.846552886,0,0,0,4,1963,12
0,528209.59071,1,0,1,1,1963,20
0,321032.30696,0,0,0,2,1963,20
0,72785.061382,0,0,0,3,1963,20
0,13111.083255,0,0,0,4,1963,20
0,199801.67292,0,0,0,1,1963,25
0,290425.85689,0,0,0,2,1963,25
0,128420.58151,0,0,0,3,1963,25
0,43932.835991,0,0,0,4,1963,25
0,12312.045131,0,0,0,1,1963,30
0,28560.624702,0,0,0,2,1963,30
0,21106.895613,0,0,0,3,1963,30
0,9939.9325399,0,0,0,4,1963,30
0,201059.78456,0,0,0,1,1968,12
0,23578.814567,0,0,0,2,1968,12
0,1051.6980987,0,0,0,3,1968,12
0,29.836058088,0,0,0,4,1968,12
0,589920.2393,2,0,2,1,1968,20
0,354924.21299,0,0,0,2,1968,20
0,57115.443484,0,0,0,3,1968,20
0,8320.8156,0,0,0,4,1968,20
0,296745.10037,1,1,0,1,1968,25
0,428125.1825,0,0,0,2,1968,25
0,161582.07947,0,0,0,3,1968,25
0,42472.261951,1,0,1,4,1968,25
0,60239.204536,0,0,0,1,1968,30
0,136721.84238,1,0,1,2,1968,30
0,126898.43493,1,0,1,3,1968,30
0,58739.157976,0,0,0,4,1968,30
0,263519.67329,1,0,1,1,1973,12
0,20670.074714,0,0,0,2,1973,12
0,509.7388577,0,0,0,3,1973,12
0,1170262.9484,4,0,4,1,1973,20
0,506428.88767,0,0,0,2,1973,20
0,59040.144045,0,0,0,3,1973,20
0,6502.6339546,0,0,0,4,1973,20
0,810770.91695,3,0,3,1,1973,25
0,1018222.2216,4,0,4,2,1973,25
0,272473.76162,1,0,1,3,1973,25
0,50884.065828,0,0,0,4,1973,25
0,251769.13342,1,0,1,1,1973,30
0,538703.61213,1,0,1,2,1973,30
0,394595.34693,1,0,1,3,1973,30
0,168634.79812,0,0,0,4,1973,30
15,43264.182341,1,0,1,1,1950,12
15,2790.1211243,0,0,0,2,1950,12
